customer_id,month_bucket,activity_id,category,sub_category,channel,owner_type,reason_codes
C001,2024-01,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-02,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-03,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-04,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-05,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-06,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-07,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-08,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-01,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-02,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-03,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-04,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-05,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-06,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-07,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-08,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
